case,region,dice,iou,hd95,asd,status,precision,recall,prediction_voxels,target_voxels,hd95_unit,hd95_voxel,asd_voxel,official_dice,official_hd95_voxel,inference_seconds
case0051,edema_inclusive,0.7800449737653036,0.639404696886947,6.708203932499369,1.1081804885923474,ok,0.7670761670761671,0.7934598441206371,6105,5902,voxel,6.708203932499369,1.1081804885923474,0.7800449737653036,6.708203932499369,0.12845226199988247
case0051,myocardial_ring,0.9005705368898425,0.8191253437416837,1.0,0.26918540846425143,ok,0.9270153599036242,0.8755926417599089,9961,10546,voxel,1.0,0.26918540846425143,0.9005705368898425,1.0,0.12845226199988247
case0056,normal_myocardium,0.8410415856976292,0.7256874580818243,1.4142135623730951,0.3263864564013057,ok,0.9309528930952893,0.7669679248626617,4649,5643,voxel,1.4142135623730951,0.3263864564013057,0.8410415856976292,1.4142135623730951,0.13013649299955432
case0056,edema,0.7984790874524715,0.6645569620253164,2.0,0.5841705685724266,ok,0.8116654954321855,0.7857142857142857,1423,1470,voxel,2.0,0.5841705685724266,0.7984790874524715,2.0,0.13013649299955432
case0056,scar,0.1524390243902439,0.08250825082508251,22.02271554554524,5.284903971081296,ok,0.10148849797023005,0.30612244897959184,739,245,voxel,22.02271554554524,5.284903971081296,0.1524390243902439,22.02271554554524,0.13013649299955432
case0056,edema_inclusive,0.7340727366520505,0.5798696006519968,5.00990195135927,1.2608158430381766,ok,0.6581868640148011,0.8297376093294461,2162,1715,voxel,5.00990195135927,1.2608158430381766,0.7340727366520505,5.00990195135927,0.13013649299955432
case0056,myocardial_ring,0.8913825958077494,0.8040488922841864,1.0,0.19079263294265703,ok,0.9271766260461018,0.8582495243272629,6811,7358,voxel,1.0,0.19079263294265703,0.8913825958077494,1.0,0.13013649299955432
case0061,normal_myocardium,0.6967573733094345,0.5346336584146036,6.252491727521286,1.0217866296299745,ok,0.5759698275862069,0.8816494845360825,3712,2425,voxel,6.252491727521286,1.0217866296299745,0.6967573733094345,6.252491727521286,0.057296777999908954
case0061,edema,,,,,both_empty,,,0,0,voxel,,,1.0,0.0,0.057296777999908954
case0061,scar,0.009818360333824251,0.00493339911198816,28.45259080582858,11.890529050217182,ok,1.0,0.00493339911198816,10,2027,voxel,28.45259080582858,11.890529050217182,0.009818360333824251,28.45259080582858,0.057296777999908954
case0061,edema_inclusive,0.009818360333824251,0.00493339911198816,28.45259080582858,11.890529050217182,ok,1.0,0.00493339911198816,10,2027,voxel,28.45259080582858,11.890529050217182,0.009818360333824251,28.45259080582858,0.057296777999908954
case0061,myocardial_ring,0.8245656961096158,0.7014987510407993,1.4142135623730951,0.3511564260768585,ok,0.9054271896829661,0.75696316262354,3722,4452,voxel,1.4142135623730951,0.3511564260768585,0.8245656961096158,1.4142135623730951,0.057296777999908954
case0066,normal_myocardium,0.7970449074458371,0.6625724537675959,1.4142135623730951,0.4143610182852776,ok,0.8968802540631422,0.7172094412907081,5353,6694,voxel,1.4142135623730951,0.4143610182852776,0.7970449074458371,1.4142135623730951,0.059568143999968015
case0066,edema,0.6095634095634096,0.4383971291866029,4.47213595499958,0.998052613705955,ok,0.7806176783812566,0.5,939,1466,voxel,4.47213595499958,0.998052613705955,0.6095634095634096,4.47213595499958,0.059568143999968015
case0066,scar,0.36918138041733545,0.2263779527559055,28.827905336956327,3.7244404614213544,ok,0.24945770065075923,0.7098765432098766,2305,810,voxel,28.827905336956327,3.7244404614213544,0.36918138041733545,28.827905336956327,0.059568143999968015
case0066,edema_inclusive,0.6873188405797102,0.5235992271598123,14.560219778561036,2.3128427946668912,ok,0.5847718865598027,0.8334797891036907,3244,2276,voxel,14.560219778561036,2.3128427946668912,0.6873188405797102,14.560219778561036,0.059568143999968015
case0066,myocardial_ring,0.911140206068196,0.8367837724801338,1.0,0.20948311464993355,ok,0.9309061300453647,0.8921962095875139,8597,8970,voxel,1.0,0.20948311464993355,0.911140206068196,1.0,0.059568143999968015
case0071,normal_myocardium,0.788712422007941,0.6511355654413487,2.0,0.4507604249916045,ok,0.8440060698027314,0.7402182592494011,3295,3757,voxel,2.0,0.4507604249916045,0.788712422007941,2.0,0.059271092000017234
case0071,edema,0.7536485697606539,0.6046838407494145,4.358898943540674,1.0654860970732014,ok,0.7335227272727273,0.7749099639855942,1760,1666,voxel,4.358898943540674,1.0654860970732014,0.7536485697606539,4.358898943540674,0.059271092000017234
case0071,scar,0.44234800838574423,0.2839838492597577,6.4031242374328485,1.4924902613152902,ok,0.476029328821207,0.4131179637787567,1773,2043,voxel,6.4031242374328485,1.4924902613152902,0.44234800838574423,6.4031242374328485,0.059271092000017234
case0071,edema_inclusive,0.6912455122894228,0.5281705001055075,5.0990195135927845,1.0171677231734804,ok,0.708463062553071,0.6748449716904826,3533,3709,voxel,5.0990195135927845,1.0171677231734804,0.6912455122894228,5.0990195135927845,0.059271092000017234
case0071,myocardial_ring,0.8546243178956205,0.7461519667725385,1.0,0.3074587892874032,ok,0.8945518453427065,0.8181087597106884,6828,7466,voxel,1.0,0.3074587892874032,0.8546243178956205,1.0,0.059271092000017234
case0076,normal_myocardium,0.7928940176131187,0.6568553459119497,2.0,0.40833464380763107,ok,0.8241792929292929,0.7638970157987127,3168,3418,voxel,2.0,0.40833464380763107,0.7928940176131187,2.0,0.05962122099936096
case0076,edema,0.8361948955916473,0.7185007974481659,2.0,0.486074185636837,ok,0.8597328244274809,0.8139114724480578,3144,3321,voxel,2.0,0.486074185636837,0.8361948955916473,2.0,0.05962122099936096
case0076,scar,0.38203309692671394,0.23611922852133255,11.793921669555328,2.117245476817224,ok,0.34035383319292334,0.4353448275862069,1187,928,voxel,11.793921669555328,2.117245476817224,0.38203309692671394,11.793921669555328,0.05962122099936096
case0076,edema_inclusive,0.8331002331002331,0.713943268078306,3.1622776601683795,0.7919196864615999,ok,0.8252135765412145,0.8411390915509531,4331,4249,voxel,3.1622776601683795,0.7919196864615999,0.8331002331002331,3.1622776601683795,0.05962122099936096
case0076,myocardial_ring,0.8848740603982592,0.793519394512772,1.0,0.22646248012837883,ok,0.8947859714628618,0.8751793400286944,7499,7667,voxel,1.0,0.22646248012837883,0.8848740603982592,1.0,0.05962122099936096
case0081,normal_myocardium,0.8681099339781975,0.766956049918611,1.0,0.283675940755169,ok,0.8804110868888196,0.8561477892186553,3211,3302,voxel,1.0,0.283675940755169,0.8681099339781975,1.0,0.060080119000303966
case0081,edema,0.8091889357712142,0.6795275590551181,1.0,0.32498913929134227,ok,0.7458945548833189,0.8842213114754098,1157,976,voxel,1.0,0.32498913929134227,0.8091889357712142,1.0,0.060080119000303966
case0081,scar,0.5339441899208663,0.36420454545454545,2.8284271247461903,0.822606319753074,ok,0.5985060690943044,0.48195488721804514,1071,1330,voxel,2.8284271247461903,0.822606319753074,0.5339441899208663,2.8284271247461903,0.060080119000303966
case0081,edema_inclusive,0.7895897662108513,0.652332361516035,2.0,0.48725267446076254,ok,0.803411131059246,0.7762359063313097,2228,2306,voxel,2.0,0.48725267446076254,0.7895897662108513,2.0,0.060080119000303966
case0081,myocardial_ring,0.8798768896532996,0.7855180216583159,1.0,0.25494434442881786,ok,0.8935466078323221,0.8666191155492154,5439,5608,voxel,1.0,0.25494434442881786,0.8798768896532996,1.0,0.060080119000303966
case0086,normal_myocardium,0.829618714312028,0.7088448221592698,1.4142135623730951,0.2879460911782274,ok,0.8475724501317276,0.8124098124098124,2657,2772,voxel,1.4142135623730951,0.2879460911782274,0.829618714312028,1.4142135623730951,0.13163965199964878
case0086,edema,0.7541302235179786,0.6053042121684867,2.0,0.8627617802242696,ok,0.714548802946593,0.7983539094650206,543,486,voxel,2.0,0.8627617802242696,0.7541302235179786,2.0,0.13163965199964878
case0086,scar,0.7010594196222939,0.5397163120567375,2.8284271247461903,0.5960977118239964,ok,0.6652097902097902,0.7409931840311588,2288,2054,voxel,2.8284271247461903,0.5960977118239964,0.7010594196222939,2.8284271247461903,0.13163965199964878
case0086,edema_inclusive,0.792403649227332,0.6561825470243602,2.23606797749979,0.45956440043605246,ok,0.7516778523489933,0.8377952755905512,2831,2540,voxel,2.23606797749979,0.45956440043605246,0.792403649227332,2.23606797749979,0.13163965199964878
case0086,myocardial_ring,0.8920370370370371,0.8051144910579977,1.0,0.17009497296724252,ok,0.8777332361516035,0.9068147590361446,5488,5312,voxel,1.0,0.17009497296724252,0.8920370370370371,1.0,0.13163965199964878
case0091,normal_myocardium,0.8703410562670888,0.7704458598726115,1.0,0.21311983130929868,ok,0.8468216185942313,0.8952042628774423,3571,3378,voxel,1.0,0.21311983130929868,0.8703410562670888,1.0,0.06151280799986125
case0091,edema,0.8250904704463209,0.702258726899384,1.7320508075688772,0.35259019543485387,ok,0.9259927797833934,0.7440174039158811,1108,1379,voxel,1.7320508075688772,0.35259019543485387,0.8250904704463209,1.7320508075688772,0.06151280799986125
case0091,scar,0.37280701754385964,0.22911051212938005,8.306623862918075,1.8568399856528388,ok,0.3811659192825112,0.3648068669527897,892,932,voxel,8.306623862918075,1.8568399856528388,0.37280701754385964,8.306623862918075,0.06151280799986125
case0091,edema_inclusive,0.7784736720018557,0.6372958602354728,4.47213595499958,0.8367289326448629,ok,0.839,0.7260926006057984,2000,2311,voxel,4.47213595499958,0.8367289326448629,0.7784736720018557,4.47213595499958,0.06151280799986125
case0091,myocardial_ring,0.8815275310834814,0.7881530887724313,1.0,0.25253543240452103,ok,0.8908633997486987,0.8723853049745122,5571,5689,voxel,1.0,0.25253543240452103,0.8815275310834814,1.0,0.06151280799986125
case0096,normal_myocardium,0.739740441950193,0.5869746729752296,2.0,0.44232176066506623,ok,0.6613358419567262,0.8392359729407083,3189,2513,voxel,2.0,0.44232176066506623,0.739740441950193,2.0,0.05703383699983533
case0096,edema,0.7125827814569536,0.5534979423868313,4.69041575982343,1.0214388771650587,ok,0.6691542288557214,0.7620396600566572,804,706,voxel,4.69041575982343,1.0214388771650587,0.7125827814569536,4.69041575982343,0.05703383699983533
case0096,scar,0.34679334916864607,0.20977011494252873,25.688437994724804,4.537644641308445,ok,0.5763157894736842,0.2480181200453001,760,1766,voxel,25.688437994724804,4.537644641308445,0.34679334916864607,25.688437994724804,0.05703383699983533
case0096,edema_inclusive,0.6427155599603568,0.47353048557867833,21.213203435596427,3.0520760162699667,ok,0.8292838874680307,0.5246763754045307,1564,2472,voxel,21.213203435596427,3.0520760162699667,0.6427155599603568,21.213203435596427,0.05703383699983533
case0096,myocardial_ring,0.8999794619018279,0.8181478715459298,1.0,0.20924157155429138,ok,0.9219440353460973,0.879037111334002,4753,4985,voxel,1.0,0.20924157155429138,0.8999794619018279,1.0,0.05703383699983533
case0101,normal_myocardium,0.8696416022487702,0.7693503263910476,1.0,0.23127406172065654,ok,0.8823529411764706,0.8572913058538275,2805,2887,voxel,1.0,0.23127406172065654,0.8696416022487702,1.0,0.05881005999981426
case0101,edema,0.6276923076923077,0.45739910313901344,4.123105625617661,0.8941911426030321,ok,0.805528134254689,0.5141776937618148,1013,1587,voxel,4.123105625617661,0.8941911426030321,0.6276923076923077,4.123105625617661,0.05881005999981426
case0101,scar,0.0748663101604278,0.03888888888888889,4.358898943540674,2.2336632226624715,ok,0.04590163934426229,0.2028985507246377,915,207,voxel,4.358898943540674,2.2336632226624715,0.0748663101604278,4.358898943540674,0.05881005999981426
case0101,edema_inclusive,0.8076303062869425,0.6773321315908066,1.4142135623730951,0.3652700797902449,ok,0.7795643153526971,0.8377926421404682,1928,1794,voxel,1.4142135623730951,0.3652700797902449,0.8076303062869425,1.4142135623730951,0.05881005999981426
case0101,myocardial_ring,0.8965370724452942,0.8124759337697343,1.0,0.18711724394452942,ok,0.8916120853581239,0.9015167699209571,4733,4681,voxel,1.0,0.18711724394452942,0.8965370724452942,1.0,0.05881005999981426
case0106,normal_myocardium,0.7956010618126659,0.6605793450881612,2.449489742783178,0.45857186047160536,ok,0.8996569468267581,0.7131203263086335,1166,1471,voxel,2.449489742783178,0.45857186047160536,0.7956010618126659,2.449489742783178,0.12719685100000788
case0106,edema,0.7563671311869293,0.6081916537867079,1.4142135623730951,0.337796964994187,ok,0.7941473259334006,0.7220183486238532,991,1090,voxel,1.4142135623730951,0.337796964994187,0.7563671311869293,1.4142135623730951,0.12719685100000788
case0106,scar,0.3764002987303958,0.23183072677092917,9.486832980505138,2.540631005835828,ok,0.4666666666666667,0.31539424280350437,540,799,voxel,9.486832980505138,2.540631005835828,0.3764002987303958,9.486832980505138,0.12719685100000788
case0106,edema_inclusive,0.8011695906432749,0.6682926829268293,2.8284271247461903,0.46781440491307097,ok,0.8948399738732854,0.7252514557967178,1531,1889,voxel,2.8284271247461903,0.46781440491307097,0.8011695906432749,2.8284271247461903,0.12719685100000788
case0106,myocardial_ring,0.863463760937758,0.7597327135386404,1.0,0.17685735520512338,ok,0.9695958472376714,0.7782738095238095,2697,3360,voxel,1.0,0.17685735520512338,0.863463760937758,1.0,0.12719685100000788
case0111,normal_myocardium,0.7690663817283291,0.6247829861111112,2.0,0.4041504406668639,ok,0.8313600924054289,0.7154572564612326,3463,4024,voxel,2.0,0.4041504406668639,0.7690663817283291,2.0,0.059370521000346343
case0111,edema,0.6855823160673045,0.5215863453815262,3.0,0.752297031541288,ok,0.5817469204927211,0.8345381526104417,1786,1245,voxel,3.0,0.752297031541288,0.6855823160673045,3.0,0.059370521000346343
case0111,scar,0.24671385237613752,0.14071510957324107,16.42710813641024,4.0586012571787435,ok,0.18168279970215934,0.384251968503937,1343,635,voxel,16.42710813641024,4.0586012571787435,0.24671385237613752,16.42710813641024,0.059370521000346343
case0111,edema_inclusive,0.6620083849071671,0.4947776783049836,8.927395253448452,1.608874569080365,ok,0.5298817513582614,0.8819148936170212,3129,1880,voxel,8.927395253448452,1.608874569080365,0.6620083849071671,8.927395253448452,0.059370521000346343
case0111,myocardial_ring,0.8637964148527529,0.7602479222425694,1.0,0.20329531168204168,ok,0.8187196601941747,0.9141260162601627,6592,5904,voxel,1.0,0.20329531168204168,0.8637964148527529,1.0,0.059370521000346343
case0116,normal_myocardium,0.8566042478320975,0.7491756429984612,1.0,0.181469157628375,ok,0.8845055800674799,0.8304093567251462,3853,4104,voxel,1.0,0.181469157628375,0.8566042478320975,1.0,0.059576488999482535
case0116,edema,0.6904985888993415,0.5272988505747126,2.8284271247461903,0.6190985325936771,ok,0.9017199017199017,0.5594512195121951,407,656,voxel,2.8284271247461903,0.6190985325936771,0.6904985888993415,2.8284271247461903,0.059576488999482535
case0116,scar,0.4094368340943683,0.2574162679425837,3.4641016151377544,1.0698389227252165,ok,0.37675070028011204,0.4483333333333333,714,600,voxel,3.4641016151377544,1.0698389227252165,0.4094368340943683,3.4641016151377544,0.059576488999482535
case0116,edema_inclusive,0.7328565418594868,0.5783532536520585,2.23606797749979,0.5156559851971013,ok,0.7769848349687779,0.6934713375796179,1121,1256,voxel,2.23606797749979,0.5156559851971013,0.7328565418594868,2.23606797749979,0.059576488999482535
case0116,myocardial_ring,0.8910392877878847,0.8034904013961606,1.0,0.20048415087942503,ok,0.9256131885806193,0.858955223880597,4974,5360,voxel,1.0,0.20048415087942503,0.8910392877878847,1.0,0.059576488999482535
