case,region,dice_M2,iou_M2,hd95_voxel_M2,precision_M2,recall_M2,official_dice_M2,official_hd95_voxel_M2,dice_M3,iou_M3,hd95_voxel_M3,precision_M3,recall_M3,official_dice_M3,official_hd95_voxel_M3,dice_diff (M3-M2),hd95_diff (M3-M2),official_dice_diff (M3-M2)
case0056,myocardial_ring,0.8913825958077494,0.8040488922841864,1.0,0.9271766260461018,0.8582495243272629,0.8913825958077494,1.0,0.893182292028633,0.8069822931056134,1.0,0.9139524960887498,0.873335145419951,0.893182292028633,1.0,0.0017996962208836065,0.0,0.0017996962208836065
case0061,normal_myocardium,0.6967573733094345,0.5346336584146036,6.252491727521286,0.5759698275862069,0.8816494845360825,0.6967573733094345,6.252491727521286,0.700832381263261,0.5394472361809045,6.4031242374328485,0.5799567801188547,0.8853608247422681,0.700832381263261,6.4031242374328485,0.004075007953826426,0.15063250991156263,0.004075007953826426
case0061,edema,,,,,,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,,0.0
case0061,scar,0.0098183603338242,0.0049333991119881,28.45259080582858,1.0,0.0049333991119881,0.0098183603338242,28.45259080582858,0.1198910081743869,0.0637681159420289,22.11334438749598,0.7542857142857143,0.0651208682782437,0.1198910081743869,22.11334438749598,0.1100726478405627,-6.3392464183326,0.1100726478405627
case0061,edema_inclusive,0.0098183603338242,0.0049333991119881,28.45259080582858,1.0,0.0049333991119881,0.0098183603338242,28.45259080582858,0.1138421733505821,0.0603566529492455,22.393076533163292,0.4520547945205479,0.0651208682782437,0.1138421733505821,22.393076533163292,0.1040238130167579,-6.0595142726652895,0.1040238130167579
case0061,myocardial_ring,0.8245656961096158,0.7014987510407993,1.4142135623730951,0.905427189682966,0.75696316262354,0.8245656961096158,1.4142135623730951,0.84252900781435,0.7279050736497545,1.0,0.8908362543815723,0.7991913746630728,0.84252900781435,1.0,0.017963311704734197,-0.41421356237309515,0.017963311704734197
case0066,normal_myocardium,0.7970449074458371,0.6625724537675959,1.4142135623730951,0.8968802540631422,0.7172094412907081,0.7970449074458371,1.4142135623730951,0.8451278832574926,0.7317934782608696,1.0,0.8899537343027099,0.8046011353450851,0.8451278832574926,1.0,0.04808297581165544,-0.41421356237309515,0.04808297581165544
case0066,edema,0.6095634095634096,0.4383971291866029,4.47213595499958,0.7806176783812566,0.5,0.6095634095634096,4.47213595499958,0.6986537797721781,0.5368700265251989,6.0,0.7071977638015374,0.6903137789904502,0.6986537797721781,6.0,0.08909037020876853,1.5278640450004204,0.08909037020876853
case0066,scar,0.3691813804173354,0.2263779527559055,28.827905336956327,0.2494577006507592,0.7098765432098766,0.3691813804173354,28.827905336956327,0.4453376205787781,0.2864529472595656,2.8284271247461903,0.3301549463647199,0.6839506172839506,0.4453376205787781,2.8284271247461903,0.07615624016144273,-25.999478212210136,0.07615624016144273
case0066,edema_inclusive,0.6873188405797102,0.5235992271598123,14.560219778561036,0.5847718865598027,0.8334797891036907,0.6873188405797102,14.560219778561036,0.7342618384401114,0.5801056338028169,3.0,0.6358957864265037,0.8686291739894552,0.7342618384401114,3.0,0.04694299786040124,-11.560219778561036,0.04694299786040124
case0066,myocardial_ring,0.911140206068196,0.8367837724801338,1.0,0.9309061300453648,0.8921962095875139,0.911140206068196,1.0,0.909381721912746,0.8338221907555375,1.0,0.8999017574500601,0.9190635451505016,0.909381721912746,1.0,-0.0017584841554499908,0.0,-0.0017584841554499908
case0071,normal_myocardium,0.788712422007941,0.6511355654413487,2.0,0.8440060698027314,0.7402182592494011,0.788712422007941,2.0,0.7496080946273336,0.5994985183496695,3.605551275463989,0.8067484662576687,0.7000266169816343,0.7496080946273336,3.605551275463989,-0.03910432738060743,1.6055512754639891,-0.03910432738060743
case0071,edema,0.7536485697606539,0.6046838407494145,4.358898943540674,0.7335227272727273,0.7749099639855942,0.7536485697606539,4.358898943540674,0.7653701380175659,0.6199186991869918,8.54400374531753,0.8015768725361366,0.7322929171668667,0.7653701380175659,8.54400374531753,0.011721568256912063,4.185104801776856,0.011721568256912063
case0071,scar,0.4423480083857442,0.2839838492597577,6.4031242374328485,0.476029328821207,0.4131179637787567,0.4423480083857442,6.4031242374328485,0.42825311942959,0.2724695208392401,7.14142842854285,0.3930470347648261,0.470386686245717,0.42825311942959,7.14142842854285,-0.014094888956154183,0.7383041911100019,-0.014094888956154183
case0071,edema_inclusive,0.6912455122894228,0.5281705001055075,5.0990195135927845,0.708463062553071,0.6748449716904826,0.6912455122894228,5.0990195135927845,0.648775403856175,0.4801388353258773,5.830951894845301,0.6276783463574489,0.6713399838231329,0.648775403856175,5.830951894845301,-0.04247010843324772,0.7319323812525163,-0.04247010843324772
case0071,myocardial_ring,0.8546243178956205,0.7461519667725385,1.0,0.8945518453427065,0.8181087597106884,0.8546243178956205,1.0,0.8553733070169468,0.7472945653466524,1.0,0.8695170886951709,0.8416822930618805,0.8553733070169468,1.0,0.0007489891213262601,0.0,0.0007489891213262601
case0076,normal_myocardium,0.7928940176131187,0.6568553459119497,2.0,0.8241792929292929,0.7638970157987127,0.7928940176131187,2.0,0.8147811600787521,0.68745208280092,1.4142135623730951,0.8445839874411303,0.7870099473376243,0.8147811600787521,1.4142135623730951,0.02188714246563339,-0.5857864376269049,0.02188714246563339
case0076,edema,0.8361948955916473,0.7185007974481659,2.0,0.8597328244274809,0.8139114724480578,0.8361948955916473,2.0,0.8297309905146945,0.7090087695987244,2.0,0.8578778135048232,0.8033724781692262,0.8297309905146945,2.0,-0.006463905076952825,0.0,-0.006463905076952825
case0076,scar,0.3820330969267139,0.2361192285213325,11.793921669555328,0.3403538331929233,0.4353448275862069,0.3820330969267139,11.793921669555328,0.4332392093586123,0.276519052523172,10.002493781056032,0.3462282398452611,0.5786637931034483,0.4332392093586123,10.002493781056032,0.05120611243189843,-1.791427888499296,0.05120611243189843
case0076,edema_inclusive,0.8331002331002331,0.713943268078306,3.1622776601683795,0.8252135765412145,0.8411390915509531,0.8331002331002331,3.1622776601683795,0.8408529741863076,0.725406661502711,2.23606797749979,0.8036901952370736,0.8816192045187102,0.8408529741863076,2.23606797749979,0.007752741086074488,-0.9262096826685897,0.007752741086074488
case0076,myocardial_ring,0.8848740603982592,0.793519394512772,1.0,0.8947859714628618,0.8751793400286944,0.8848740603982592,1.0,0.8922838909301876,0.8055167597765364,1.0,0.8821055314810095,0.9026998826137994,0.8922838909301876,1.0,0.007409830531928341,0.0,0.007409830531928341
case0081,normal_myocardium,0.8681099339781975,0.766956049918611,1.0,0.8804110868888196,0.8561477892186553,0.8681099339781975,1.0,0.8702801461632156,0.7703504043126684,1.0,0.8750765462339253,0.8655360387643852,0.8702801461632156,1.0,0.0021702121850181166,0.0,0.0021702121850181166
